completion,prompt
fear,i hate that feeling when im about to do something then i get scared and almost turn around and walk away
joy,i feel are too special to pass up but dont have a use for myself and to hopefully offset the expense of our forays
fear,i cant help but feel distraught
sadness,i am feeling terrible
sadness,i feel so pained by a situation or circumstance or i become so frustrated by something that is so out of my control and completely unacceptable that instead of looking like a crazy person running around cursing and screaming i throw a tantrum in my mind
anger,i have omitted the link to this article as i feel readers of this blog may be offended by the questionable adult content on the nyps webpage
sadness,i need these crutches but i feel like i cant help it i resigned myself to a position of being miserable so long ago that its taking me baby steps to realize i dont have to be
joy,im actually feeling hopeful
joy,i feel like this is something i can do well and its helped me out of tough spots before
sadness,i don t know about anyone else but there are times when i am feeling low and stressed and i just need to see something pretty
fear,i feel a strange disconnect
anger,i feel many petty people have judged me simply because i may be one
sadness,im feeling tragic like im marlon brando
anger,i hunger for anything i feel ferocious like a tiger
sadness,im putting my books in a stack and wondering when ill stop feeling so sad about the passing of ray bradbury
joy,i feel increasingly energetic and comfortable inside and out
sadness,i feel like i am punished for having them too
joy,i mean i enjoy feeling pretty with make up on
fear,i am not strong that i feel scared lonely lost and confused
sadness,i feel genuinely stressed with work
